use_no, field_name, old_value, new_value, error_id
1380904, ACRE_PLANTED, 246, 249.5, 117582
1380905, ACRE_PLANTED, 246, 249.5, 117583
1380906, ACRE_PLANTED, 246, 249.5, 117584
1380907, ACRE_PLANTED, 246, 249.5, 117585
4212042, SITE_CODE, 999990, -1, 266177
4212043, SITE_CODE, 999990, -1, 266178
4212044, SITE_CODE, 999990, -1, 266179
4212045, SITE_CODE, 999990, -1, 266180
4245807, LBS_PRD_USED, 500.6612, 500.6612, 276447
4245807, AMT_PRD_USED, 6805, 51.3616, 276447
2315162, LBS_PRD_USED, .75, .75, 164321
2315162, AMT_PRD_USED, 192, 12, 164321
1380432, LBS_PRD_USED, 354.7262, 354.7262, 117146
1380432, AMT_PRD_USED, 217.5, 36.5529, 117146
1380436, LBS_PRD_USED, 115.4268, 115.4268, 117149
1380436, AMT_PRD_USED, 217.5, 11.8942, 117149
1380438, LBS_PRD_USED, 1.3604, 1.3604, 117151
1380438, AMT_PRD_USED, 1.13, .1471, 117151
1380440, LBS_PRD_USED, 232.2612, 232.2612, 117153
1380440, AMT_PRD_USED, 217.5, 23.9335, 117153
1380442, LBS_PRD_USED, 2.7373, 2.7373, 117154
1380442, AMT_PRD_USED, 1.13, .296, 117154
1380449, LBS_PRD_USED, 443.4077, 443.4077, 117158
1380449, AMT_PRD_USED, 217.5, 45.6912, 117158
1380453, LBS_PRD_USED, 154.8408, 154.8408, 117160
1380453, AMT_PRD_USED, 217.5, 15.9556, 117160
1380455, LBS_PRD_USED, 1.8249, 1.8249, 117162
1380455, AMT_PRD_USED, 1.13, .1974, 117162
1380529, LBS_PRD_USED, 13.3999, 13.3999, 117255
1380529, AMT_PRD_USED, 221, 214.3981, 117255
1380530, LBS_PRD_USED, 12.4797, 12.4797, 117256
1380530, AMT_PRD_USED, 238, 199.6753, 117256
4095448, LBS_PRD_USED, .0668, .0668, 247906
4095448, AMT_PRD_USED, 30, .8897, 247906
1380717, LBS_PRD_USED, .0703, .0703, 117500
1380717, AMT_PRD_USED, 10.38, .9996, 117500
1380538, ACRE_PLANTED, 42, 75, 117258
1380630, UNIT_TREATED, A, U, 117446
1380632, LBS_PRD_USED, 24.0771, 24.0771, 117447
1380632, AMT_PRD_USED, 416.619, 24.0771, 117447
1380385, ACRE_PLANTED, 6, 15, 117132
1380394, ACRE_PLANTED, 25, 25.5, 117133
1380395, ACRE_PLANTED, 25, 25.5, 117134
1380396, ACRE_PLANTED, 25, 25.5, 117135
1380397, ACRE_PLANTED, 25, 25.5, 117136
1380398, ACRE_PLANTED, 5, 19, 117137
1380399, ACRE_PLANTED, 5, 19, 117138
1380400, ACRE_PLANTED, 5, 19, 117139
1380403, ACRE_PLANTED, 5, 18, 117140
1380404, ACRE_PLANTED, 5, 18, 117141
1380405, ACRE_PLANTED, 5, 18, 117142
1380406, ACRE_PLANTED, 6, 8, 117143
1380407, ACRE_PLANTED, 29, 30, 117144
1380408, LBS_PRD_USED, .0668, .0668, 117145
1380408, AMT_PRD_USED, 28.5, .8897, 117145
1386665, UNIT_TREATED, A, U, 119850
1386666, UNIT_TREATED, A, U, 119852
1386667, UNIT_TREATED, A, U, 119854
1386668, UNIT_TREATED, A, U, 119855
1386669, UNIT_TREATED, A, U, 119857
1386670, UNIT_TREATED, A, U, 119859
1386671, UNIT_TREATED, A, U, 119861
1386672, UNIT_TREATED, A, U, 119863
1363851, ACRE_PLANTED, 3.02, 3.27, 112769
3268835, ACRE_PLANTED, 10, 16, 189425
3268836, ACRE_PLANTED, 10, 16, 189426
3268843, ACRE_PLANTED, 78, 80.92, 189427
3268844, ACRE_PLANTED, 78, 80.92, 189428
3268845, ACRE_PLANTED, 78, 80.92, 189429
1363943, ACRE_PLANTED, 3.02, 3.27, 112858
4085387, LBS_PRD_USED, .7035, .7035, 247451
4085387, AMT_PRD_USED, 46.95, 9.9963, 247451
4085401, LBS_PRD_USED, 12.9223, 12.9223, 247452
4085401, AMT_PRD_USED, 166, 1.1323, 247452
4096910, ACRE_PLANTED, 5, 60, 248070
4096911, ACRE_PLANTED, 5, 60, 248071
4096912, ACRE_PLANTED, 5, 60, 248072
4096919, GROWER_ID, 04130402602, 04170402602, 248075
4096923, GROWER_ID, 04130402602, 04170402602, 248079
4096920, GROWER_ID, 04130402602, 04170402602, 248076
4096921, GROWER_ID, 04130402602, 04170402602, 248077
4096922, GROWER_ID, 04130402602, 04170402602, 248078
1364008, ACRE_PLANTED, 3.02, 3.27, 112922
1364009, ACRE_PLANTED, 3.02, 3.27, 112923
1364010, ACRE_PLANTED, 3.02, 3.27, 112924
1364011, ACRE_PLANTED, 3.02, 3.27, 112925
1363944, ACRE_PLANTED, 3.02, 3.27, 112859
1363945, ACRE_PLANTED, 4.5, 6.13, 112860
1363946, ACRE_PLANTED, 4.5, 6.13, 112861
1363947, ACRE_PLANTED, 4.5, 6.13, 112862
1363948, ACRE_PLANTED, 4.5, 6.13, 112863
1363957, ACRE_PLANTED, 15.64, 15.84, 112872
1363958, ACRE_PLANTED, 15.64, 15.84, 112873
1521948, LBS_PRD_USED, 60.7578, 60.7578, 124779
1521948, AMT_PRD_USED, 224, 6.9691, 124779
1364014, ACRE_PLANTED, 15.64, 15.84, 112928
1364023, ACRE_PLANTED, 3.02, 3.27, 112937
1364022, ACRE_PLANTED, 3.02, 3.27, 112936
1364024, ACRE_PLANTED, 3.02, 3.27, 112938
846547, ACRE_PLANTED, 8, 10, 70741
846565, ACRE_PLANTED, 4.25, 9.7, 70745
846566, ACRE_PLANTED, .5, 1.5, 70746
846567, ACRE_PLANTED, .5, 1.5, 70747
846568, ACRE_PLANTED, 4.25, 4.7, 70748
846569, ACRE_PLANTED, 4.25, 4.7, 70749
846570, ACRE_PLANTED, 4.25, 4.7, 70750
1367303, ACRE_PLANTED, 60, 80, 114154
1367304, ACRE_PLANTED, 60, 80, 114155
1367305, ACRE_PLANTED, 60, 80, 114156
1367306, ACRE_PLANTED, 60, 80, 114157
1367326, AMT_PRD_USED, 22, .0147, 114170
1367307, ACRE_PLANTED, 25, 280, 114158
1367308, ACRE_PLANTED, 25, 280, 114159
1367309, ACRE_PLANTED, 25, 280, 114160
1367310, ACRE_PLANTED, 25, 280, 114161
1367311, ACRE_PLANTED, 25, 65, 114162
1367312, ACRE_PLANTED, 25, 65, 114163
1367313, ACRE_PLANTED, 25, 65, 114164
1367314, ACRE_PLANTED, 25, 65, 114165
1367321, LBS_PRD_USED, .0002, .0002, 114166
1367321, AMT_PRD_USED, 8, .0026, 114166
1367322, LBS_PRD_USED, .0003, .0003, 114167
1367322, AMT_PRD_USED, .6, .0003, 114167
1367323, LBS_PRD_USED, .0002, .0002, 114168
1367323, AMT_PRD_USED, 4, .0026, 114168
1367326, LBS_PRD_USED, .0013, .0013, 114170
1367328, LBS_PRD_USED, .0006, .0006, 114172
1367328, AMT_PRD_USED, .6, .0006, 114172
1367329, LBS_PRD_USED, .0008, .0008, 114173
1367329, AMT_PRD_USED, 60, .011, 114173
1367371, LBS_PRD_USED, 2.1693, 2.1693, 114179
1367371, AMT_PRD_USED, 80, 34.7093, 114179
1345546, LBS_PRD_USED, 6.3841, 6.3841, 109378
1345546, AMT_PRD_USED, 840, 89.9997, 109378
1325358, ACRE_PLANTED, 76.9, 77.3, 101558
1325359, ACRE_PLANTED, 76.9, 77.3, 101559
1325360, ACRE_PLANTED, 76.9, 77.3, 101560
1325365, ACRE_PLANTED, 56.97, 60, 101561
1325371, ACRE_PLANTED, 5.7, 53.19, 101563
1325372, ACRE_PLANTED, 5.7, 53.19, 101564
1325373, ACRE_PLANTED, 5.7, 53.19, 101565
1325374, ACRE_PLANTED, 5.7, 8.1, 101566
1325375, ACRE_PLANTED, 5.7, 8.1, 101567
1325376, ACRE_PLANTED, 5.7, 8.1, 101568
1325379, ACRE_PLANTED, 57, 59, 101569
1325380, ACRE_PLANTED, 57, 59, 101570
1325381, ACRE_PLANTED, 56.97, 60, 101571
1325405, ACRE_PLANTED, 5.7, 53.19, 101572
1325406, ACRE_PLANTED, 5.7, 5.73, 101573
1325407, ACRE_PLANTED, 5.7, 8.1, 101574
1325409, ACRE_PLANTED, 76.9, 77.3, 101575
1325429, ACRE_PLANTED, 5.7, 8.1, 101576
1325430, ACRE_PLANTED, 5.7, 8.1, 101577
1325431, ACRE_PLANTED, 5.7, 53.19, 101578
4083660, LBS_PRD_USED, .0808, .0808, 247250
4083660, AMT_PRD_USED, 10.3, 1.1321, 247250
4083670, LBS_PRD_USED, 4.4978, 4.4978, 247252
4083670, AMT_PRD_USED, 75, 4.4978, 247252
4083678, LBS_PRD_USED, 3.3363, 3.3363, 247254
4083678, AMT_PRD_USED, 12.3, .3627, 247254
4083681, SITE_CODE, 010503, -1, 247255
4083686, SITE_CODE, 010503, -1, 247256
4083687, SITE_CODE, 010503, -1, 247257
107432, ACRE_PLANTED, 20.17, 26.35, 23555
107433, ACRE_PLANTED, 20.17, 26.35, 23556
1346496, LBS_PRD_USED, 3.9644, 3.9644, 110059
1346496, AMT_PRD_USED, 1000, .4795, 110059
1325432, ACRE_PLANTED, 5.7, 53.19, 101579
1325433, ACRE_PLANTED, 5.7, 5.73, 101580
1325434, ACRE_PLANTED, 5.7, 5.73, 101581
1325440, ACRE_PLANTED, 60, 90, 101583
1325441, ACRE_PLANTED, 60, 90, 101584
1325442, ACRE_PLANTED, 60, 90, 101586
1381112, LBS_PRD_USED, .0001, .0001, 117660
1381112, AMT_PRD_USED, 2, .0002, 117660
1381126, LBS_PRD_USED, 1.2685, 1.2685, 117669
1381126, AMT_PRD_USED, 35, 24.405, 117669
2848251, ACRE_PLANTED, 15, 60, 176190
2848206, ACRE_PLANTED, 15, 60, 176147
2848210, ACRE_PLANTED, 15, 50, 176149
2848211, ACRE_PLANTED, 15, 50, 176150
2848212, ACRE_PLANTED, 15, 50, 176151
2848213, ACRE_PLANTED, 15, 50, 176152
2848214, ACRE_PLANTED, 15, 50, 176153
